entrez	group
101926892	adrenal-gland_unknown_male
4929	adrenal-gland_unknown_female
777	adrenal-gland_unknown_male
1135	adrenal-gland_unknown_female
57495	adrenal-gland_unknown_male
8013	adrenal-gland_unknown_female
4985	adrenal-gland_unknown_male
127343	adrenal-gland_unknown_female
6401	adrenal-gland_unknown_male
150094	adrenal-gland_unknown_female
441177	adrenal-gland_unknown_female
6192	amygdala_unknown_male
8284	amygdala_unknown_male
8287	amygdala_unknown_male
8653	amygdala_unknown_male
9086	amygdala_unknown_male
22829	amygdala_unknown_male
246126	amygdala_unknown_male
7404	amygdala_unknown_male
5616	amygdala_unknown_male
7544	amygdala_unknown_male
83869	amygdala_unknown_male
7503	amygdala_unknown_female
9087	amygdala_unknown_male
83259	amygdala_unknown_male
9383	amygdala_unknown_female
246119	amygdala_unknown_male
2353	amygdala_unknown_male
100874056	amygdala_unknown_male
115584	amygdala_unknown_male
90665	amygdala_unknown_male
441459	amygdala_unknown_female
4340	amygdala_unknown_female
101928087	amygdala_unknown_male
8970	amygdala_unknown_male
100874001	amygdala_unknown_female
286554	amygdala_unknown_male
403150	amygdala_unknown_male
159119	amygdala_unknown_male
124221	amygdala_unknown_female
146802	amygdala_unknown_male
8284	aorta_unknown_male
8653	aorta_unknown_male
6192	aorta_unknown_male
246126	aorta_unknown_male
8287	aorta_unknown_male
9086	aorta_unknown_male
7404	aorta_unknown_male
5616	aorta_unknown_male
7503	aorta_unknown_female
7544	aorta_unknown_male
22829	aorta_unknown_male
83869	aorta_unknown_male
9087	aorta_unknown_male
83259	aorta_unknown_male
100873962	aorta_unknown_male
246119	aorta_unknown_male
107987337	aorta_unknown_male
9383	aorta_unknown_female
286554	aorta_unknown_male
90665	aorta_unknown_male
9607	aorta_unknown_male
159119	aorta_unknown_male
100874056	aorta_unknown_male
147381	aorta_unknown_male
6736	aorta_unknown_male
8284	atrium-auricular-region_unknown_male
6192	atrium-auricular-region_unknown_male
7503	atrium-auricular-region_unknown_female
8653	atrium-auricular-region_unknown_male
8287	atrium-auricular-region_unknown_male
246126	atrium-auricular-region_unknown_male
7404	atrium-auricular-region_unknown_male
9086	atrium-auricular-region_unknown_male
5616	atrium-auricular-region_unknown_male
7544	atrium-auricular-region_unknown_male
83869	atrium-auricular-region_unknown_male
22829	atrium-auricular-region_unknown_male
9383	atrium-auricular-region_unknown_female
246119	atrium-auricular-region_unknown_male
9087	atrium-auricular-region_unknown_male
286554	atrium-auricular-region_unknown_male
100873962	atrium-auricular-region_unknown_male
164284	atrium-auricular-region_unknown_male
