Entrez	tissue
551	adipose
55350	adipose
55388	adipose
55539	adipose
55600	adipose
55908	adipose
55997	adipose
56033	adipose
56245	adipose
56246	adipose
56301	adipose
5650	adipose
56670	adipose
5671	adipose
5672	adipose
56729	adipose
5673	adipose
56956	adipose
57126	adipose
57379	adipose
574414	adipose
57495	adipose
57795	adipose
57824	adipose
579	adipose
58510	adipose
58524	adipose
60529	adipose
60675	adipose
6289	adipose
6290	adipose
6291	adipose
6329	adipose
6354	adipose
6362	adipose
6372	adipose
63923	adipose
63982	adipose
64066	adipose
64102	adipose
642366	adipose
642484	adipose
642597	adipose
642636	adipose
643160	adipose
643418	adipose
643847	adipose
644997	adipose
645027	adipose
645434	adipose
645528	adipose
646	adipose
646168	adipose
646268	adipose
646282	adipose
646625	adipose
646643	adipose
647166	adipose
6492	adipose
651	adipose
6530	adipose
653073	adipose
653145	adipose
653567	adipose
653720	adipose
653786	adipose
6656	adipose
6701	adipose
6705	adipose
6708	adipose
6736	adipose
6847	adipose
6860	adipose
6862	adipose
6910	adipose
7062	adipose
7069	adipose
7173	adipose
7274	adipose
728113	adipose
728339	adipose
728695	adipose
729467	adipose
729533	adipose
7299	adipose
730112	adipose
7348	adipose
7363	adipose
7545	adipose
7547	adipose
765	adipose
768239	adipose
790952	adipose
79190	adipose
79465	adipose
79849	adipose
79908	adipose
79981	adipose
80133	adipose
80339	adipose
8038	adipose
80831	adipose
81472	adipose
81501	adipose
81626	adipose
8170	adipose
81832	adipose
8277	adipose
83890	adipose
83895	adipose
84063	adipose
84107	adipose
84570	adipose
84658	adipose
84690	adipose
85329	adipose
85397	adipose
85413	adipose
85416	adipose
85445	adipose
8647	adipose
8710	adipose
8778	adipose
8796	adipose
8843	adipose
89886	adipose
8993	adipose
91074	adipose
9119	adipose
91662	adipose
91937	adipose
92736	adipose
93035	adipose
932	adipose
9333	adipose
9370	adipose
9376	adipose
94025	adipose
943	adipose
9496	adipose
9506	adipose
970	adipose
9899	adipose
100073347	adrenal_gland
100101938	adrenal_gland
100128788	adrenal_gland
100130268	adrenal_gland
100130587	adrenal_gland
100130954	adrenal_gland
100131726	adrenal_gland
100131814	adrenal_gland
100132464	adrenal_gland
100151684	adrenal_gland
100271702	adrenal_gland
100287036	adrenal_gland
100287177	adrenal_gland
100287226	adrenal_gland
100287482	adrenal_gland
100289650	adrenal_gland
100422986	adrenal_gland
10050	adrenal_gland
100505841	adrenal_gland
100506474	adrenal_gland
100506622	adrenal_gland
100506790	adrenal_gland
100507203	adrenal_gland
100507250	adrenal_gland
100507341	adrenal_gland
100507406	adrenal_gland
100507477	adrenal_gland
100507506	adrenal_gland
100507564	adrenal_gland
100873965	adrenal_gland
100874093	adrenal_gland
100874284	adrenal_gland
100996351	adrenal_gland
