entrez	group
939	Immune system: Pro-B cells
100133941	Immune system: Pro-B cells
5788	Immune system: Pro-B cells
5079	Immune system: Pro-B cells
100133941	Immune system: Pro-B cells
952	Immune system: Pro-B cells
973	Immune system: Pro-B cells
1791	Immune system: Pro-B cells
7441	Immune system: Pro-B cells
10777	Immune system: Pro-B cells
4267	Immune system: Pro-B cells
3543	Immune system: Pro-B cells
928	Immune system: Pro-B cells
974	Immune system: Pro-B cells
8115	Immune system: Pro-B cells
3117	Immune system: Pro-B cells
3119	Immune system: Pro-B cells
29802	Immune system: Pro-B cells
930	Immune system: Pre-B cells
939	Immune system: Pre-B cells
100133941	Immune system: Pre-B cells
5788	Immune system: Pre-B cells
5079	Immune system: Pre-B cells
100133941	Immune system: Pre-B cells
952	Immune system: Pre-B cells
973	Immune system: Pre-B cells
197370	Immune system: Pre-B cells
5101	Immune system: Pre-B cells
6296	Immune system: Pre-B cells
57577	Immune system: Pre-B cells
8115	Immune system: Pre-B cells
974	Immune system: Pre-B cells
8115	Immune system: Pre-B cells
3117	Immune system: Pre-B cells
3119	Immune system: Pre-B cells
29802	Immune system: Pre-B cells
930	Immune system: Naive B cells
952	Immune system: Naive B cells
100133941	Immune system: Naive B cells
931	Immune system: Naive B cells
5788	Immune system: Naive B cells
5079	Immune system: Naive B cells
100133941	Immune system: Naive B cells
952	Immune system: Naive B cells
973	Immune system: Naive B cells
3512	Immune system: Naive B cells
6748	Immune system: Naive B cells
51303	Immune system: Naive B cells
90701	Immune system: Naive B cells
91319	Immune system: Naive B cells
10549	Immune system: Naive B cells
974	Immune system: Naive B cells
8115	Immune system: Naive B cells
3117	Immune system: Naive B cells
3119	Immune system: Naive B cells
952	Immune system: Naive B cells
29802	Immune system: Naive B cells
930	Immune system: Memory B cells
939	Immune system: Memory B cells
952	Immune system: Memory B cells
100133941	Immune system: Memory B cells
931	Immune system: Memory B cells
5788	Immune system: Memory B cells
5079	Immune system: Memory B cells
100133941	Immune system: Memory B cells
952	Immune system: Memory B cells
973	Immune system: Memory B cells
3512	Immune system: Memory B cells
6748	Immune system: Memory B cells
51303	Immune system: Memory B cells
90701	Immune system: Memory B cells
91319	Immune system: Memory B cells
10549	Immune system: Memory B cells
974	Immune system: Memory B cells
8115	Immune system: Memory B cells
3117	Immune system: Memory B cells
3119	Immune system: Memory B cells
952	Immune system: Memory B cells
939	Immune system: Memory B cells
29802	Immune system: Memory B cells
939	Immune system: Plasma B cells
952	Immune system: Plasma B cells
100133941	Immune system: Plasma B cells
931	Immune system: Plasma B cells
5788	Immune system: Plasma B cells
5079	Immune system: Plasma B cells
100133941	Immune system: Plasma B cells
952	Immune system: Plasma B cells
973	Immune system: Plasma B cells
3512	Immune system: Plasma B cells
6748	Immune system: Plasma B cells
51303	Immune system: Plasma B cells
90701	Immune system: Plasma B cells
91319	Immune system: Plasma B cells
10549	Immune system: Plasma B cells
974	Immune system: Plasma B cells
8115	Immune system: Plasma B cells
3117	Immune system: Plasma B cells
3119	Immune system: Plasma B cells
952	Immune system: Plasma B cells
29802	Immune system: Plasma B cells
914	Immune system: Naive CD8+ T cells
915	Immune system: Naive CD8+ T cells
916	Immune system: Naive CD8+ T cells
917	Immune system: Naive CD8+ T cells
939	Immune system: Naive CD8+ T cells
50943	Immune system: Naive CD8+ T cells
1236	Immune system: Naive CD8+ T cells
925	Immune system: Naive CD8+ T cells
926	Immune system: Naive CD8+ T cells
1235	Immune system: Naive CD8+ T cells
923	Immune system: Naive CD8+ T cells
1493	Immune system: Naive CD8+ T cells
3559	Immune system: Naive CD8+ T cells
3002	Immune system: Naive CD8+ T cells
5788	Immune system: Naive CD8+ T cells
6402	Immune system: Naive CD8+ T cells
1236	Immune system: Naive CD8+ T cells
10578	Immune system: Naive CD8+ T cells
4050	Immune system: Naive CD8+ T cells
1043	Immune system: Naive CD8+ T cells
51246	Immune system: Naive CD8+ T cells
3932	Immune system: Naive CD8+ T cells
7070	Immune system: Naive CD8+ T cells
92196	Immune system: Naive CD8+ T cells
920	Immune system: Naive CD4+ T cells
914	Immune system: Naive CD4+ T cells
915	Immune system: Naive CD4+ T cells
916	Immune system: Naive CD4+ T cells
917	Immune system: Naive CD4+ T cells
939	Immune system: Naive CD4+ T cells
50943	Immune system: Naive CD4+ T cells
1236	Immune system: Naive CD4+ T cells
1235	Immune system: Naive CD4+ T cells
923	Immune system: Naive CD4+ T cells
1493	Immune system: Naive CD4+ T cells
3559	Immune system: Naive CD4+ T cells
3002	Immune system: Naive CD4+ T cells
5788	Immune system: Naive CD4+ T cells
6402	Immune system: Naive CD4+ T cells
1236	Immune system: Naive CD4+ T cells
4050	Immune system: Naive CD4+ T cells
1043	Immune system: Naive CD4+ T cells
51246	Immune system: Naive CD4+ T cells
3932	Immune system: Naive CD4+ T cells
7070	Immune system: Naive CD4+ T cells
92196	Immune system: Naive CD4+ T cells
914	Immune system: Memory CD8+ T cells
915	Immune system: Memory CD8+ T cells
916	Immune system: Memory CD8+ T cells
917	Immune system: Memory CD8+ T cells
939	Immune system: Memory CD8+ T cells
50943	Immune system: Memory CD8+ T cells
1236	Immune system: Memory CD8+ T cells
925	Immune system: Memory CD8+ T cells
926	Immune system: Memory CD8+ T cells
1235	Immune system: Memory CD8+ T cells
923	Immune system: Memory CD8+ T cells
1493	Immune system: Memory CD8+ T cells
3559	Immune system: Memory CD8+ T cells
3002	Immune system: Memory CD8+ T cells
6402	Immune system: Memory CD8+ T cells
1236	Immune system: Memory CD8+ T cells
10578	Immune system: Memory CD8+ T cells
6275	Immune system: Memory CD8+ T cells
4050	Immune system: Memory CD8+ T cells
1043	Immune system: Memory CD8+ T cells
51246	Immune system: Memory CD8+ T cells
3932	Immune system: Memory CD8+ T cells
7070	Immune system: Memory CD8+ T cells
92196	Immune system: Memory CD8+ T cells
920	Immune system: Memory CD4+ T cells
914	Immune system: Memory CD4+ T cells
915	Immune system: Memory CD4+ T cells
916	Immune system: Memory CD4+ T cells
917	Immune system: Memory CD4+ T cells
939	Immune system: Memory CD4+ T cells
50943	Immune system: Memory CD4+ T cells
1236	Immune system: Memory CD4+ T cells
1235	Immune system: Memory CD4+ T cells
923	Immune system: Memory CD4+ T cells
1493	Immune system: Memory CD4+ T cells
3559	Immune system: Memory CD4+ T cells
3002	Immune system: Memory CD4+ T cells
6402	Immune system: Memory CD4+ T cells
1236	Immune system: Memory CD4+ T cells
6275	Immune system: Memory CD4+ T cells
4050	Immune system: Memory CD4+ T cells
1043	Immune system: Memory CD4+ T cells
51246	Immune system: Memory CD4+ T cells
3932	Immune system: Memory CD4+ T cells
7070	Immune system: Memory CD4+ T cells
92196	Immune system: Memory CD4+ T cells
914	Immune system: Effector CD8+ T cells
915	Immune system: Effector CD8+ T cells
916	Immune system: Effector CD8+ T cells
917	Immune system: Effector CD8+ T cells
939	Immune system: Effector CD8+ T cells
50943	Immune system: Effector CD8+ T cells
1236	Immune system: Effector CD8+ T cells
925	Immune system: Effector CD8+ T cells
926	Immune system: Effector CD8+ T cells
1235	Immune system: Effector CD8+ T cells
923	Immune system: Effector CD8+ T cells
1493	Immune system: Effector CD8+ T cells
3559	Immune system: Effector CD8+ T cells
3002	Immune system: Effector CD8+ T cells
5788	Immune system: Effector CD8+ T cells
10578	Immune system: Effector CD8+ T cells
4050	Immune system: Effector CD8+ T cells
1043	Immune system: Effector CD8+ T cells
51246	Immune system: Effector CD8+ T cells
3932	Immune system: Effector CD8+ T cells
7070	Immune system: Effector CD8+ T cells
92196	Immune system: Effector CD8+ T cells
920	Immune system: Effector CD4+ T cells
914	Immune system: Effector CD4+ T cells
915	Immune system: Effector CD4+ T cells
916	Immune system: Effector CD4+ T cells
917	Immune system: Effector CD4+ T cells
939	Immune system: Effector CD4+ T cells
50943	Immune system: Effector CD4+ T cells
1236	Immune system: Effector CD4+ T cells
1235	Immune system: Effector CD4+ T cells
923	Immune system: Effector CD4+ T cells
1493	Immune system: Effector CD4+ T cells
3559	Immune system: Effector CD4+ T cells
3002	Immune system: Effector CD4+ T cells
5788	Immune system: Effector CD4+ T cells
4050	Immune system: Effector CD4+ T cells
1043	Immune system: Effector CD4+ T cells
51246	Immune system: Effector CD4+ T cells
3932	Immune system: Effector CD4+ T cells
7070	Immune system: Effector CD4+ T cells
92196	Immune system: Effector CD4+ T cells
914	Immune system: γδ-T cells
915	Immune system: γδ-T cells
916	Immune system: γδ-T cells
917	Immune system: γδ-T cells
939	Immune system: γδ-T cells
50943	Immune system: γδ-T cells
1236	Immune system: γδ-T cells
1235	Immune system: γδ-T cells
923	Immune system: γδ-T cells
1493	Immune system: γδ-T cells
3559	Immune system: γδ-T cells
3002	Immune system: γδ-T cells
5788	Immune system: γδ-T cells
4050	Immune system: γδ-T cells
1043	Immune system: γδ-T cells
51246	Immune system: γδ-T cells
3932	Immune system: γδ-T cells
7070	Immune system: γδ-T cells
92196	Immune system: γδ-T cells
5473	Immune system: Platelets
5196	Immune system: Platelets
2791	Immune system: Platelets
1191	Immune system: Platelets
914	Immune system: CD8+ NKT-like cells
915	Immune system: CD8+ NKT-like cells
916	Immune system: CD8+ NKT-like cells
917	Immune system: CD8+ NKT-like cells
969	Immune system: CD8+ NKT-like cells
4818	Immune system: CD8+ NKT-like cells
3002	Immune system: CD8+ NKT-like cells
3001	Immune system: CD8+ NKT-like cells
3004	Immune system: CD8+ NKT-like cells
10578	Immune system: CD8+ NKT-like cells
1339	Immune system: CD8+ NKT-like cells
79698	Immune system: CD8+ NKT-like cells
3805	Immune system: CD8+ NKT-like cells
920	Immune system: CD4+ NKT-like cells
914	Immune system: CD4+ NKT-like cells
915	Immune system: CD4+ NKT-like cells
916	Immune system: CD4+ NKT-like cells
917	Immune system: CD4+ NKT-like cells
969	Immune system: CD4+ NKT-like cells
4818	Immune system: CD4+ NKT-like cells
3002	Immune system: CD4+ NKT-like cells
3001	Immune system: CD4+ NKT-like cells
3004	Immune system: CD4+ NKT-like cells
1339	Immune system: CD4+ NKT-like cells
79698	Immune system: CD4+ NKT-like cells
3805	Immune system: CD4+ NKT-like cells
914	Immune system: Natural killer  cells
969	Immune system: Natural killer  cells
4818	Immune system: Natural killer  cells
3002	Immune system: Natural killer  cells
3001	Immune system: Natural killer  cells
3004	Immune system: Natural killer  cells
10578	Immune system: Natural killer  cells
1339	Immune system: Natural killer  cells
79698	Immune system: Natural killer  cells
3805	Immune system: Natural killer  cells
4818	Immune system: Natural killer  cells
27181	Immune system: Eosinophils
1178	Immune system: Eosinophils
2623	Immune system: Eosinophils
1053	Immune system: Eosinophils
6406	Immune system: Eosinophils
246	Immune system: Eosinophils
6368	Immune system: Eosinophils
260429	Immune system: Eosinophils
7060	Immune system: Eosinophils
2299	Immune system: Eosinophils
3576	Immune system: Neutrophils
2215	Immune system: Neutrophils
4332	Immune system: Neutrophils
3579	Immune system: Neutrophils
4353	Immune system: Neutrophils
1991	Immune system: Neutrophils
5657	Immune system: Neutrophils
4353	Immune system: Neutrophils
566	Immune system: Neutrophils
4069	Immune system: Neutrophils
6279	Immune system: Neutrophils
6280	Immune system: Neutrophils
5266	Immune system: Neutrophils
1116	Immune system: Neutrophils
306	Immune system: Neutrophils
2919	Immune system: Neutrophils
7053	Immune system: Neutrophils
10917	Immune system: Neutrophils
722	Immune system: Neutrophils
4318	Immune system: Neutrophils
100133941	Immune system: Neutrophils
671	Immune system: Neutrophils
4057	Immune system: Neutrophils
25801	Immune system: Neutrophils
820	Immune system: Neutrophils
4057	Immune system: Neutrophils
967	Immune system: Basophils
1178	Immune system: Basophils
932	Immune system: Basophils
6947	Immune system: Basophils
1359	Immune system: Basophils
3067	Immune system: Basophils
2624	Immune system: Basophils
2206	Immune system: Basophils
3565	Immune system: Basophils
148823	Immune system: Basophils
2624	Immune system: Basophils
7177	Immune system: Basophils
3815	Immune system: Mast cells
6571	Immune system: Mast cells
945	Immune system: Mast cells
2205	Immune system: Mast cells
23430	Immune system: Mast cells
27306	Immune system: Mast cells
929	Immune system: Classical Monocytes
968	Immune system: Classical Monocytes
945	Immune system: Classical Monocytes
915	Immune system: Classical Monocytes
916	Immune system: Classical Monocytes
917	Immune system: Classical Monocytes
1462	Immune system: Classical Monocytes
6283	Immune system: Classical Monocytes
3576	Immune system: Classical Monocytes
6279	Immune system: Classical Monocytes
6280	Immune system: Classical Monocytes
4069	Immune system: Classical Monocytes
1471	Immune system: Classical Monocytes
929	Immune system: Non-classical monocytes
968	Immune system: Non-classical monocytes
945	Immune system: Non-classical monocytes
915	Immune system: Non-classical monocytes
916	Immune system: Non-classical monocytes
917	Immune system: Non-classical monocytes
1028	Immune system: Non-classical monocytes
7940	Immune system: Non-classical monocytes
2207	Immune system: Non-classical monocytes
58475	Immune system: Non-classical monocytes
389	Immune system: Non-classical monocytes
6279	Immune system: Non-classical monocytes
6280	Immune system: Non-classical monocytes
1471	Immune system: Non-classical monocytes
714	Immune system: Non-classical monocytes
929	Immune system: Intermediate monocytes
968	Immune system: Intermediate monocytes
945	Immune system: Intermediate monocytes
915	Immune system: Intermediate monocytes
916	Immune system: Intermediate monocytes
917	Immune system: Intermediate monocytes
3553	Immune system: Intermediate monocytes
6279	Immune system: Intermediate monocytes
6280	Immune system: Intermediate monocytes
1471	Immune system: Intermediate monocytes
714	Immune system: Intermediate monocytes
968	Immune system: Macrophages
9332	Immune system: Macrophages
929	Immune system: Macrophages
941	Immune system: Macrophages
942	Immune system: Macrophages
6362	Immune system: Macrophages
4360	Immune system: Macrophages
4481	Immune system: Macrophages
25801	Immune system: Macrophages
5196	Immune system: Macrophages
7852	Immune system: Megakaryocyte
5175	Immune system: Endothelial
947	Immune system: Endothelial
3791	Immune system: Endothelial
1003	Immune system: Endothelial
8842	Immune system: Endothelial
10630	Immune system: Endothelial
7010	Immune system: Endothelial
2321	Immune system: Endothelial
7412	Immune system: Endothelial
5788	Immune system: Endothelial
7450	Immune system: Endothelial
2022	Immune system: Endothelial
4162	Immune system: Endothelial
3383	Immune system: Endothelial
2324	Immune system: Endothelial
6401	Immune system: Endothelial
5788	Immune system: Erythroid-like and erythroid precursor cells
2993	Immune system: Erythroid-like and erythroid precursor cells
8607	Immune system: Erythroid-like and erythroid precursor cells
7037	Immune system: Erythroid-like and erythroid precursor cells
2348	Immune system: Erythroid-like and erythroid precursor cells
948	Immune system: Erythroid-like and erythroid precursor cells
3676	Immune system: Erythroid-like and erythroid precursor cells
3043	Immune system: Erythroid-like and erythroid precursor cells
3045	Immune system: Erythroid-like and erythroid precursor cells
759	Immune system: Erythroid-like and erythroid precursor cells
947	Immune system: HSC/MPP cells
960	Immune system: HSC/MPP cells
6657	Immune system: HSC/MPP cells
3791	Immune system: HSC/MPP cells
3576	Immune system: HSC/MPP cells
551	Immune system: HSC/MPP cells
1393	Immune system: HSC/MPP cells
216	Immune system: HSC/MPP cells
969	Immune system: HSC/MPP cells
100133941	Immune system: HSC/MPP cells
952	Immune system: HSC/MPP cells
259266	Immune system: HSC/MPP cells
9429	Immune system: HSC/MPP cells
4072	Immune system: HSC/MPP cells
929	Immune system: HSC/MPP cells
947	Immune system: Progenitor cells
960	Immune system: Progenitor cells
6657	Immune system: Progenitor cells
3791	Immune system: Progenitor cells
551	Immune system: Progenitor cells
1393	Immune system: Progenitor cells
216	Immune system: Progenitor cells
3925	Immune system: Progenitor cells
952	Immune system: Progenitor cells
5788	Immune system: Progenitor cells
3687	Immune system: Myeloid Dendritic cells
9308	Immune system: Myeloid Dendritic cells
911	Immune system: Myeloid Dendritic cells
8829	Immune system: Myeloid Dendritic cells
170482	Immune system: Myeloid Dendritic cells
942	Immune system: Myeloid Dendritic cells
3563	Immune system: Myeloid Dendritic cells
941	Immune system: Myeloid Dendritic cells
909	Immune system: Myeloid Dendritic cells
3687	Immune system: Myeloid Dendritic cells
958	Immune system: Myeloid Dendritic cells
3117	Immune system: Myeloid Dendritic cells
3115	Immune system: Myeloid Dendritic cells
3113	Immune system: Myeloid Dendritic cells
10462	Immune system: Myeloid Dendritic cells
1471	Immune system: Myeloid Dendritic cells
2853	Immune system: Myeloid Dendritic cells
161753	Immune system: Myeloid Dendritic cells
50489	Immune system: Myeloid Dendritic cells
401262	Immune system: Myeloid Dendritic cells
3687	Immune system: Plasmacytoid Dendritic cells
9308	Immune system: Plasmacytoid Dendritic cells
911	Immune system: Plasmacytoid Dendritic cells
8829	Immune system: Plasmacytoid Dendritic cells
